cik_year;positive_count;negative_count;positive_prop;negative_prop;net_positive_tone;total_words;cyber_mentions
490712022;164;188;0,013898305084745762;0,01593220338983051;-0,06818181818181816;11800;10
490712023;205;193;0,015432098765432098;0,01452875639867510;0,03015075376884417;13284;9
55132022;376;707;0,011836182201655806;0,02225580004407089;-0,30563250230840266;31767;25
55132023;383;658;0,012316696681245177;0,02116027784924106;-0,26416906820365033;31096;28
551352012;68;171;0,008432539682539682;0,02120535714285714;-0,43096234309623438;8064;0
568732016;88;131;0,006286163297378384;0,00935781127223373;-0,19634703196347031;13999;2
627092013;69;138;0,006466123137475401;0,01293224627495080;-0,33333333333333331;10671;2
677162019;107;210;0,007697287964894612;0,01510682684698943;-0,32492113564668773;13901;0
7005652024;49;184;0,004065040650406504;0,01526464244234279;-0,57939914163090134;12054;0
7009232016;120;141;0,010591350397175641;0,01244483671668138;-0,08045977011494247;11330;2
7009232020;101;139;0,008687424737656976;0,01195596077756752;-0,15833333333333330;11626;2
7157872023;62;189;0,006307864482653373;0,01922881269712077;-0,50597609561752988;9829;21
723332018;61;65;0,006618923611111111;0,00705295138888889;-0,03174603174603176;9216;0
7236122015;36;75;0,005507955936352510;0,01147490820073439;-0,35135135135135126;6536;0
7266012019;140;223;0,009665838166252416;0,01539629936481635;-0,22865013774104689;14484;4
7327122024;113;174;0,006912583348626660;0,01064415489080565;-0,21254355400696862;16347;5
7327172024;82;138;0,008207386647983185;0,01381243118806926;-0,25454545454545452;9991;1
737562024;77;68;0,009697732997481109;0,00856423173803527;0,06206896551724136;7940;3
7526422018;74;73;0,008425367186610497;0,00831151087327792;0,00680272108843537;8783;10
7527142021;31;61;0,003318702494379617;0,00653035006958570;-0,32608695652173908;9341;0
75362010;67;195;0,006979893738931139;0,02031461610584436;-0,48854961832061061;9599;2
753622018;57;146;0,005336079385882793;0,01366785246208575;-0,43842364532019706;10682;1
7644782018;124;206;0,009176348701250647;0,01524457929401317;-0,24848484848484853;13513;2
7738402021;23;68;0,006217896728845634;0,01838334685050013;-0,49450549450549447;3699;2
7738402023;8;56;0,004115226337448560;0,02880658436213992;-0,74999999999999989;1944;0
774762022;266;461;0,008014462187405844;0,01388972582103043;-0,26822558459422285;33190;5
7833252023;150;226;0,007473096851335194;0,01125946592267836;-0,20212765957446804;20072;1
7895702023;70;170;0,006109268633269331;0,01483679525222552;-0,41666666666666663;11458;0
7908162024;79;119;0,008465495070724390;0,01275182168881269;-0,20202020202020196;9332;0
7943672018;113;142;0,010376492194674012;0,01303948576675849;-0,11372549019607843;10890;1
7943672019;128;126;0,013602550478214665;0,01339001062699256;0,00787401574803150;9410;1
7991672022;51;85;0,007973733583489680;0,01328955597248280;-0,25000000000000006;6396;0
7991672023;47;86;0,007376020087884494;0,01349654739485248;-0,29323308270676696;6372;0
8077072020;186;699;0,006702944250243252;0,02519009694043028;-0,57966101694915251;27749;43
8228182020;74;145;0,007946735395189003;0,01557130584192440;-0,32420091324200917;9312;1
8278762023;60;102;0,010000000000000000;0,01700000000000000;-0,25925925925925924;6000;4
8312592023;116;141;0,005556087747868570;0,00675352045215059;-0,09727626459143973;20878;1
8374652023;44;78;0,005901287553648069;0,01046137339055794;-0,27868852459016386;7456;1
8449652016;102;369;0,005213924244747738;0,01886213770894034;-0,56687898089171973;19563;2
848392013;34;83;0,007026245091961149;0,01715230419508163;-0,41880341880341876;4839;3
8493992023;35;107;0,005533596837944664;0,01691699604743083;-0,50704225352112686;6325;11
8538162016;32;107;0,003981585168595247;0,01331342540749036;-0,53956834532374087;8037;0
8588772011;234;585;0,010905023767359493;0,02726255941839873;-0,42857142857142849;21458;36
859612019;125;170;0,007155532657851051;0,00973152441467743;-0,15254237288135586;17469;0
