ticker;Event_Date;CAR_10_10_post;CAR_6_6_post;CAR_2_6_post;CAR_2_post;id_2;reported_date;report_trading_day;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m;breach_size_group;market_cap_group;year_group
BDC;2022-02-15;0,01303215573904219;0,022654167438413433;1,96297475601459e-02;-0,016001709945284843;BDC2021;02/04/2021;05/04/2021;Information Technology;Sensitive;7,500;HACK;HACK;0;9840;2021;2;40,819178080;2008,583500;0,018704225;0,066917063;1,617880281;0,188360983;3417,68;Large;Small Cap;modern
BDC;2024-02-13;0,13298246616936127;0,099864882865826385;-2,88849597843611e-02;-0,000535431709402332;BDC2023;13/02/2023;13/02/2023;Information Technology;Sensitive;8,000;UNKN;OTHER;62;376;2023;2;41,027397260;3652,488870;0,074921201;0,208152234;1,118262098;0,184261977;3240,19;Small;Small Cap;recent
BGS;2024-02-28;0,11993071234816727;0,129240573679053478;-4,72364208385539e-02;0,023464548249856582;BGS2023;11/09/2023;11/09/2023;Consumer Staples;Defensive;2,912;HACK;HACK;231;918;2023;2;59,035616440;875,085120;-0,019114195;-0,079235107;2,534579030;0,011865596;3463,29;Small;Small Cap;recent
BLKB;2021-02-23;0,01172877012903611;-0,087242651310936115;1,13788534738491e-05;-0,009019554771061908;BLKB2020;14/09/2020;14/09/2020;Information Technology;Sensitive;3,100;HACK;HACK;220;8;2020;2;39,027397260;2796,662500;0,003774085;0,018108647;1,308809105;0,017483937;2044,73;Small;Small Cap;modern
BLKB;2024-02-21;-0,11632544666043121;-0,177493541259569843;1,65888531422638e-02;0,012705658397104738;BLKB2023;07/07/2023;07/07/2023;Information Technology;Sensitive;3,000;HACK;HACK;115;10;2023;6;12,391780820;3819,708750;0,000624940;0,002250512;1,021942488;0,010730771;2912,28;Small;Small Cap;recent
BLMN;2020-02-26;-0,38099000585642712;-0,170940001673749786;-1,13144892446903e-01;-0,018766841299056453;BLMN2019;17/10/2019;17/10/2019;Consumer Discretionary;Cyclical;94,000;UNKN;OTHER;77;499;2019;5;28,208219180;1584,590850;0,036344147;0,766534384;14,674132040;0,018689375;3592,68;Small;Small Cap;early
BMRN;2019-02-28;-0,04133191961272211;-0,003398502246810623;-2,23608091409091e-02;-0,011734754768848991;BMRN2018;13/11/2018;13/11/2018;Health Care;Defensive;1,280;HACK;HACK;49;1;2018;3;24,657534250;18468,793330;-0,017440426;-0,026015014;0,279795751;0,111580691;4427,13;Small;Large Cap;early
CABO;2020-02-28;-0,13761614156894947;-0,091039118062903102;-2,82486305115349e-02;0,005447863388327406;CABO2019;08/08/2019;08/08/2019;Communication Services;Sensitive;2,751;UNKN;OTHER;160;7375;2019;5;50,616438360;6863,886450;0,056659764;0,212201257;2,087283396;0,039745469;3151,83;Large;Large Cap;early
CAL;2024-04-02;-0,10966495840461385;-0,131381556235437486;-5,34739387339241e-02;-0,010499022474437127;CAL2023;01/09/2023;01/09/2023;Consumer Discretionary;Cyclical;9,200;HACK;HACK;56;13926;2023;6;14,712328770;1017,498300;0,094966826;0,305710886;1,333962981;0,011834352;1804,75;Large;Small Cap;recent
CAR;2016-02-24;0,03093396270507313;0,030707395946406656;1,38042817844345e-01;0,040980223006028070;CAR2015;04/11/2015;04/11/2015;Industrials;Cyclical;30,000;DISC;DISC;33;90;2015;4;4,558904110;4533,030000;0,017749802;0,712984055;28,066059230;0,040263128;17634,00;Small;Large Cap;early
CAT;2021-02-17;0,10759253168765659;0,131934990090862986;1,15877772319744e-01;0,046019016103234001;CAT2020;10/09/2020;10/09/2020;Industrials;Cyclical;97,300;UNKN;OTHER;43;1160;2020;5;29,512328770;83262,467760;0,038276901;0,195551497;2,333050682;0,119401461;78324,00;Small;Large Cap;modern
CBZ;2024-02-23;0,11815726424594564;0,152752141737922176;3,30798767555761e-03;0,003987998591403363;CBZ2023;01/09/2023;01/09/2023;Industrials;Cyclical;6,700;HACK;HACK;95;37601;2023;6;18,320547950;2795,063540;0,059193812;0,152811078;0,696060474;0,003958716;2043,59;Large;Small Cap;recent
CCBG;2020-03-05;0,03294565506214437;-0,111375734261587936;-3,12266864859621e-02;-0,016926078591042296;CCBG2019;22/01/2019;22/01/2019;Financials;Cyclical;0,815;DISC;DISC;20;11011;2019;3;6,523287671;427,182840;0,009973282;0,094206400;0,208913325;0,019452222;3088,95;Large;Small Cap;early
CF;2016-02-25;0,17890407227650243;0,092457167518671307;-2,40665395030609e-02;0,053597628855015331;CF2015;02/06/2015;02/06/2015;Materials;Cyclical;2,900;DISC;DISC;173;168;2015;3;16,780821920;73796,092020;0,054941949;0,173448652;1,385978390;0,022450918;12738,90;Small;Large Cap;early
CHGG;2019-02-25;0,03421246594266042;-0,003834219475572371;6,26448538966918e-03;0,009851724032911680;CHGG2018;26/09/2018;26/09/2018;Consumer Discretionary;Cyclical;1,087;HACK;HACK;150;75000;2018;4;4,052054795;3734,115000;-0,019565326;-0,036256131;0,690804950;0,492371258;760,94;Large;Small Cap;early
CHGG;2021-02-22;-0,18193568298297877;-0,057944867851308597;-1,58895755979350e-02;-0,022857284486920648;CHGG2020;27/04/2020;27/04/2020;Consumer Discretionary;Cyclical;1,941;HACK;HACK;18;700;2020;2;1,156164384;5105,207680;-0,002763344;-0,010204467;2,514273295;0,213148826;2251,26;Small;Large Cap;modern
CLH;2021-02-24;0,07056415854040463;0,071097542883670040;8,25695458701458e-03;-0,015994944030197755;CLH2020;15/12/2020;15/12/2020;Industrials;Cyclical;14,000;HACK;HACK;110;772;2020;3;14,509589040;3949,133300;0,032636173;0,100508292;1,318669212;0,125644073;4131,52;Small;Small Cap;modern
CLSK;2024-12-03;-0,06828961902186123;0,022103148733667342;-8,18791573191081e-02;-0,033747110608984443;CLSK2023;23/10/2023;23/10/2023;Information Technology;Sensitive;0,270;UNKN;OTHER;55;185;2023;2;18,594520550;1061,920160;-0,074275143;-0,082788422;0,038370367;0,061764073;1962,66;Small;Small Cap;recent
CMG;2019-02-08;0,08640733503027091;0,103655311439460746;-2,19497181200571e-02;-0,023678753291622587;CMG2018;22/08/2018;22/08/2018;Consumer Discretionary;Cyclical;73,000;UNKN;OTHER;32;33;2018;4;18,942465750;14371,973300;0,077930522;0,122492349;0,000000000;0,110329293;2265,52;Small;Large Cap;early
