ticker;id_2;filing_date;reported_date;report_trading_day;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m
AMGN;AMGN2021;2022-02-16;22/06/2021;22/06/2021;Health Care;Defensive;24,2;HACK;HACK;62;1357;2021;3;28,00547945;134125,992;0,096345949;0,879552239;5,071492537;0,130613913;61165
AN;AN2014;2015-02-11;26/05/2014;27/05/2014;Consumer Discretionary;Cyclical;24;UNKN;OTHER;82;1499;2014;3;30,14520548;6388,58694;0,049847018;0,202065537;1,027170503;0,008976511;8399,7
WMK;WMK2022;2023-03-01;25/11/2022;25/11/2022;Consumer Staples;Defensive;23;CARD;OTHER;116;3093;2022;6;7,4;2278,2606;0,063903223;0,096168943;0,14283772;0,080645688;1959,15
VSH;VSH2020;2021-02-24;11/06/2020;11/06/2020;Information Technology;Sensitive;21,6;UNKN;OTHER;97;1096;2020;5;16,78356164;2408,5557;0,03896784;0,077986188;0,3192331;0,196506358;3154,47
COMM;COMM2023;2024-02-29;12/05/2023;12/05/2023;Information Technology;Sensitive;20;HACK;HACK;47;5485;2023;6;40,23287671;899,34216;-0,154813858;0,48871598;-3,184788467;0,053350975;9371,9
MOH;MOH2017;2018-03-01;21/12/2017;21/12/2017;Health Care;Defensive;20;DISC;DISC;69;1380;2017;5;42,81917808;4704;-0,060441506;-0,382946896;1,622288706;0,376106717;8471
CPS;CPS2023;2024-02-16;21/04/2023;21/04/2023;Consumer Discretionary;Cyclical;20;UNKN;OTHER;136;306;2023;6;39,56438356;192,6064;-0,107880739;2,484440344;-14,64338253;0,082679636;1872,3
COTY;COTY2018;2019-08-28;03/07/2018;03/07/2018;Consumer Staples;Defensive;19;HACK;HACK;172;4753;2018;3;37,81643836;10460,754;-0,214215359;-0,825019622;1,669900584;0,019269306;17665,4
LEVI;LEVI2024;2025-01-29;20/06/2024;20/06/2024;Consumer Discretionary;Cyclical;18,7;HACK;HACK;7;72231;2024;5;37,55616438;9307,62184;0,033032703;0,106876427;1,120426288;0,108226806;6375,5
CVNA;CVNA2024;2025-02-19;12/09/2024;12/09/2024;Consumer Discretionary;Cyclical;17,4;HACK;HACK;69;1799;2024;5;39,02191781;17797,00934;0,024752475;0,166666667;4,798412698;0,202263083;8484
SYF;SYF2018;2019-02-15;03/12/2018;03/12/2018;Financials;Cyclical;16,5;UNKN;OTHER;340;28732;2018;2;3,663013699;18673,35882;0,026125552;0,190080392;1,634827633;0,087984119;106792
EXPE;EXPE2022;2023-02-10;02/03/2022;02/03/2022;Consumer Discretionary;Cyclical;16,5;HACK;HACK;343;1770;2022;4;25,58630137;28793,648;0,016325773;0,154183092;2,903635567;0,189972636;21561
COLD;COLD2021;2022-03-01;04/03/2021;04/03/2021;Real Estate;Cyclical;16,275;HACK;HACK;126;141351;2021;5;4,504109589;9191,37558;-0,003706703;-0,007573973;0,850865219;0,010096885;8216,2
AMED;AMED2015;2016-03-10;01/03/2015;02/03/2015;Health Care;Defensive;16,1;PORT;OTHER;6;6909;2015;2;-6,243835616;1013,92319;-0,004409672;-0,007376065;0,2441597;0,040143924;685,09
REGN;REGN2024;2025-02-05;22/05/2024;22/05/2024;Health Care;Defensive;15,106;HACK;HACK;91;6367;2024;4;38,02465753;108936,92;0,116860967;0,150325684;0,100117192;0,065896174;37759,4
