ticker;id_2;filing_date;reported_date;report_trading_day;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m
MS;MS2021;2022-02-24;02/07/2021;02/07/2021;Financials;Cyclical;74,814;HACK;HACK;163;33443;2021;6;27,87123288;163080,3285;0,012653391;0,153893399;3,075738809;0,107499958;1188140
LUV;LUV2023;2024-02-06;23/06/2023;23/06/2023;Industrials;Cyclical;74,806;HACK;HACK;54;3009;2023;6;21,75616438;20448,46564;0,012744265;0,044222539;0,874940561;0,254556417;36487
CMI;CMI2022;2023-02-14;19/08/2022;19/08/2022;Industrials;Cyclical;73,6;UNKN;OTHER;114;22;2022;6;43,81917808;32527,26;0,070992442;0,239665738;0,620724234;0,069342223;30299
CMG;CMG2018;2019-02-08;22/08/2018;22/08/2018;Consumer Discretionary;Cyclical;73;UNKN;OTHER;32;33;2018;4;18,94246575;14371,9733;0,077930522;0,122492349;0;0,110329293;2265,52
JWN;JWN2018;2019-03-18;07/11/2018;07/11/2018;Consumer Discretionary;Cyclical;71;DISC;DISC;29;107106;2018;4;44,02465753;10631,696;0,071519148;0,64604811;3,075601375;0,121354299;7886
TMO;TMO2018;2019-02-27;30/03/2018;02/04/2018;Health Care;Defensive;70;HACK;HACK;168;2900;2018;2;26,34520548;83022,10812;0,05224783;0,106503299;0,663271225;0,037398634;56232
MS;MS2020;2021-02-26;10/07/2020;10/07/2020;Financials;Cyclical;68,097;DISC;DISC;1592;14256250;2020;6;1,290410959;85975,23624;0,009854265;0,11883585;2,950286931;0,094683751;1115862
HUM;HUM2023;2024-02-15;15/12/2023;15/12/2023;Health Care;Defensive;67,6;HACK;HACK;199;49999;2023;6;16,32876712;57329,1672;0,052884309;0,153056205;0,753228385;0,09973441;47065
HUM;HUM2022;2023-02-16;08/09/2022;08/09/2022;Health Care;Defensive;67,1;HACK;HACK;124;999;2022;5;22,54520548;60196,70825;0,065172454;0,183266932;0,766377114;0,117547323;43055
CSCO;CSCO2012;2012-09-12;09/04/2012;09/04/2012;Information Technology;Sensitive;66,639;PORT;OTHER;14;4;2012;2;24,31506849;107125,56;0,087631731;0,156787427;0,317767032;0,106790615;91759
CNDT;CNDT2020;2021-02-24;25/11/2020;25/11/2020;Industrials;Cyclical;63;INSD;OTHER;202;22;2020;4;30,59452055;947,97078;-0,027725564;-0,099159664;1,51092437;0,105733083;4256
LUV;LUV2018;2019-02-05;20/04/2018;20/04/2018;Industrials;Cyclical;58,803;HACK;HACK;201;36485;2018;6;7,263013699;30282,6444;0,09392981;0,250177611;0,342738252;0,070647411;26243
DKS;DKS2024;2025-03-27;29/08/2024;29/08/2024;Consumer Discretionary;Cyclical;56,1;HACK;HACK;8;72012;2024;5;42,02739726;18851,6431;0,11142003;0,364356413;1,403186229;0,161582316;10458,69
FNF;FNF2016;2017-02-27;29/07/2016;29/07/2016;Financials;Cyclical;55,219;DISC;DISC;7;1;2016;6;33,77260274;10281,18285;0,044942266;0,108405604;0,457971981;0,091474798;14463
MMC;MMC2013;2014-02-27;26/11/2013;26/11/2013;Financials;Cyclical;55;HACK;HACK;178;86;2013;3;8,389041096;26069,5168;0,07991755;0,171663504;0,373814042;0,135630153;16980
COF;COF2024;2025-02-20;06/11/2024;06/11/2024;Financials;Cyclical;52,6;UNKN;OTHER;194;3050;2024;4;36,17534247;63303,2415;0,00969103;0,084913924;0,836911636;0,006177776;490144
FIS;FIS2023;2024-02-26;21/06/2023;21/06/2023;Financials;Cyclical;52;HACK;HACK;21;49000;2023;4;62,03561644;31860,95;-0,120751293;-0,348504688;0,763683025;0,007984756;55105
CZR;CZR2023;2024-02-20;06/10/2023;06/10/2023;Consumer Discretionary;Cyclical;51;HACK;HACK;48;384087;2023;6;4,421917808;9426,18768;0,023556914;0,172671353;5,667618629;0,030120482;33366
HBI;HBI2022;2023-02-08;16/08/2022;16/08/2022;Consumer Discretionary;Cyclical;51;HACK;HACK;84;75106;2022;3;6,523287671;3661,10441;-0,019558183;-0,319396179;10,27211849;0,036657064;6503,88
SWK;SWK2013;2014-02-21;15/04/2013;15/04/2013;Industrials;Cyclical;50,7;PORT;OTHER;77;7;2013;2;37,02465753;12320,15596;0,029652073;0,072111425;0,560257089;0,03000889;16535,1
AON;AON2022;2023-02-17;26/05/2022;26/05/2022;Financials;Cyclical;50;HACK;HACK;513;129682;2022;5;6,720547945;54480,296;0,079164628;-4,894139887;-22,07372401;0,021098337;32704
CZR;CZR2022;2023-02-22;02/12/2022;02/12/2022;Consumer Discretionary;Cyclical;49;HACK;HACK;162;112;2022;6;3,679452055;11128,59648;-0,026814209;-0,242122273;7,039321304;0,030960122;33527
HUM;HUM2020;2021-02-18;20/08/2020;20/08/2020;Health Care;Defensive;48,7;HACK;HACK;25;564;2020;5;28,87123288;53863,898;0,096285281;0,245265152;0,52039627;0,133632646;34969
COR;COR2024;2024-11-26;15/05/2024;15/05/2024;Health Care;Defensive;46;HACK;HACK;84;220541;2024;4;28,17808219;43265,87136;0,022490052;2,3363233;8,70489273;0,046685099;67101,67
HUM;HUM2019;2020-02-20;03/06/2019;03/06/2019;Health Care;Defensive;46;DISC;DISC;80;863;2019;2;39,81643836;38324,98155;0,093107244;0,224889923;0,507933871;0,139437298;29074
H;H2017;2018-02-15;12/10/2017;12/10/2017;Consumer Discretionary;Cyclical;45;UNKN;OTHER;208;19;2017;5;38,81643836;7342,56435;0,032455683;0,070638298;0,411631206;0,065563087;7672
AJG;AJG2022;2023-02-10;13/12/2022;13/12/2022;Financials;Cyclical;43,64;HACK;HACK;213;14;2022;3;11,88767123;41056,21836;0,028636931;0,121855724;0,684150663;0,008797722;38907,8
R;R2021;2022-02-17;08/06/2021;08/06/2021;Industrials;Cyclical;42,8;HACK;HACK;176;3563;2021;3;28,97534247;4312,26413;0,037518352;0,185507869;2,478773357;0,016911633;13834,32
HUM;HUM2018;2019-02-21;04/06/2018;04/06/2018;Health Care;Defensive;41,6;HACK;HACK;138;6836;2018;2;1,797260274;39271,04856;0,066225947;0,165633304;0,597283732;0,092196907;25413
RSG;RSG2022;2023-02-23;03/06/2022;03/06/2022;Industrials;Cyclical;40;UNKN;OTHER;55;1;2022;6;4,64109589;42796,779;0,05120315;0,15358249;1,247305389;0,004935824;29052,9
R;R2019;2020-02-27;28/05/2019;28/05/2019;Industrials;Cyclical;39,9;HACK;HACK;68;729;2019;3;23,51780822;2867,95474;-0,001686317;-0,009857409;3,11865558;0,005083406;14475,33
MMS;MMS2023;2023-11-16;28/07/2023;28/07/2023;Industrials;Cyclical;39,6;HACK;HACK;62;9179226;2023;6;23,84109589;5075,64358;0,040592133;0,097007198;0,856926495;0,016409516;3985,8
MMS;MMS2022;2023-11-16;01/11/2022;01/11/2022;Industrials;Cyclical;39,6;DISC;DISC;64;57;2022;3;23,84109589;5075,64358;0,040592133;0,097007198;0,856926495;0,016409516;3985,8
AJG;AJG2021;2022-02-18;30/07/2021;30/07/2021;Financials;Cyclical;39,174;HACK;HACK;422;813120;2021;6;8,731506849;29081,41754;0,027194482;0,10657703;0,757745287;0,012073774;33345
MMS;MMS2021;2021-11-18;18/06/2021;18/06/2021;Industrials;Cyclical;35,8;HACK;HACK;32;334690;2021;6;2,884931507;5577,71862;0,070697372;0,196713028;1,153486826;0,032790033;4118,97
YUM;YUM2023;2024-02-20;18/01/2023;18/01/2023;Consumer Discretionary;Cyclical;35;HACK;HACK;5;9999;2023;4;38,81643836;36622,73;0,256299149;-0,203232375;-1,531051158;0,082169796;6231
RSG;RSG2021;2022-02-11;20/09/2021;20/09/2021;Industrials;Cyclical;35;HACK;HACK;961;6441;2021;2;23,73424658;39155,168;0,051709076;0,143714709;1,09496709;0,001162092;24955
GIS;GIS2023;2023-06-28;12/01/2023;12/01/2023;Consumer Staples;Defensive;34;HACK;HACK;55;49000;2023;5;33,8109589;49245,07;0,08247249;0,248229597;1,151536901;0,018615846;31451,7
MTZ;MTZ2023;2024-03-01;20/11/2023;20/11/2023;Industrials;Cyclical;34;HACK;HACK;177;22009;2023;2;35,55342466;4231,1736;-0,00532874;-0,018457574;1,29184983;0,05649548;9373,51
AJG;AJG2019;2020-02-07;26/11/2019;26/11/2019;Financials;Cyclical;33,247;DISC;DISC;256;4637;2019;3;27,16164384;17282,76814;0,034061972;0,129725536;0,943342062;0,030802453;19634,8
MODG;MODG2023;2024-02-29;07/08/2023;07/08/2023;Consumer Discretionary;Cyclical;32;HACK;HACK;6;14048;2023;2;60,03561644;3528,877;0,010415981;0,0244959;1,11507916;0,043144091;9120,6
UBER;UBER2023;2024-02-15;31/03/2023;31/03/2023;Industrials;Cyclical;30,4;HACK;HACK;67;72000;2023;6;49,89041096;64598,98136;0,04876095;0,167748244;1,044803983;0,120933357;38699
CAR;CAR2015;2016-02-24;04/11/2015;04/11/2015;Industrials;Cyclical;30;DISC;DISC;33;90;2015;4;4,55890411;4533,03;0,017749802;0,712984055;28,06605923;0,040263128;17634
SBH;SBH2015;2015-11-12;28/05/2015;28/05/2015;Consumer Discretionary;Cyclical;28,33;HACK;HACK;83;3637798;2015;5;7,284931507;4854,0366;0,112248138;-0,789356694;-6,002242958;0,066864628;2094,35
AMGN;AMGN2024;2025-02-14;25/09/2024;25/09/2024;Health Care;Defensive;28;HACK;HACK;406;265;2024;4;19,44657534;177670,948;0,044534457;0,695933299;10,35885656;0,130369451;91839
PCAR;PCAR2018;2019-02-21;14/02/2018;14/02/2018;Industrials;Cyclical;28;UNKN;OTHER;23;251;2018;4;43,90410959;23617,324;0,086141808;0,255455085;0,778980321;0,134834239;25482,4
FCX;FCX2023;2024-02-16;08/09/2023;08/09/2023;Materials;Cyclical;27,2;HACK;HACK;31;168;2023;6;13,51506849;57055,6;0,035195978;0,110705086;0,590247409;0,090618215;52506
HSIC;HSIC2023;2024-02-28;15/10/2023;16/10/2023;Health Care;Defensive;25;HACK;HACK;18;166432;2023;2;6,821917808;9480,3408;0,039345503;0,113816689;0,677701778;0,016173272;10573
FNF;FNF2017;2018-02-23;04/05/2017;04/05/2017;Financials;Cyclical;24,367;HACK;HACK;113;236;2017;5;47,46575342;11152,91648;0,072341821;0,148864403;0,170676861;0,121298219;9151
