ticker;Event_Date;CAR_10_10;CAR_5_5;CAR_1_1;CAR_0_3;CAR_0_1;CARa_1_1;CAR_1_3
FOSL;18-07-2019;0,0647;0,0038;-0,0363;-0,0877;-0,0246;0,0213;-0,0418
FYBR;06-06-2024;-0,0714;-0,0568;-0,0114;-0,0439;-0,0050;0,0030;-0,0359
GDEN;07-11-2019;0,2239;0,2159;0,0122;0,0795;0,0389;0,0282;0,0688
GDEN;24-09-2021;0,0822;0,0561;0,0226;0,0308;0,0168;0,0006;0,0145
GEN;12-05-2023;0,0108;-0,0017;-0,0420;-0,0605;-0,0412;0,0102;-0,0090
GES;09-07-2021;-0,2936;-0,1818;0,0058;-0,0239;0,0112;-0,0074;-0,0424
GIS;12-01-2023;-0,1372;-0,0967;-0,0275;-0,0724;-0,0222;-0,0026;-0,0528
GKOS;12-03-2021;-0,1933;-0,0405;-0,0154;-0,0212;-0,0184;-0,0087;-0,0115
H;12-10-2017;-0,0215;0,0035;-0,0027;-0,0031;-0,0054;-0,0029;-0,0005
HAS;25-06-2018;0,0681;0,0322;-0,0012;0,0136;-0,0009;-0,0023;0,0122
HBI;16-08-2022;-0,1439;-0,1436;0,0333;0,0139;0,0423;-0,0211;-0,0495
HCC;13-12-2023;-0,0148;-0,0078;-0,0540;-0,0021;-0,0240;-0,0115;0,0103
HFFG;23-03-2023;-0,0218;0,0265;-0,0444;0,0543;0,0165;0,0372;0,0750
HON;30-04-2021;-0,0116;-0,0267;0,0023;0,0226;0,0018;-0,0020;0,0189
HON;16-06-2023;0,0397;0,0239;-0,0010;-0,0043;-0,0086;-0,0082;-0,0038
HQY;12-06-2018;-0,0453;0,0368;-0,0027;0,0219;0,0133;-0,0012;0,0074
HQY;26-07-2024;-0,0678;-0,0844;0,0140;-0,0244;-0,0060;-0,0180;-0,0364
HSIC;16-10-2023;-0,0837;-0,0786;-0,0184;-0,0557;-0,0325;-0,0063;-0,0296
HUM;04-06-2018;0,0046;-0,0025;-0,0038;0,0092;0,0081;-0,0031;-0,0019
HUM;03-06-2019;0,1051;-0,0300;0,0213;-0,0095;0,0199;-0,0069;-0,0364
HUM;20-08-2020;-0,0111;-0,0712;0,0015;-0,0516;-0,0048;0,0090;-0,0378
HUM;12-11-2021;-0,0781;-0,0358;-0,0243;-0,0179;-0,0196;-0,0157;-0,0139
HUM;08-09-2022;0,0082;0,0107;-0,0340;-0,0336;-0,0254;-0,0284;-0,0365
HUM;15-12-2023;-0,0146;-0,0505;-0,0566;-0,0346;-0,0182;-0,0025;-0,0189
HZO;16-07-2024;0,1711;0,0799;0,0062;-0,0141;0,0441;0,0190;-0,0393
INSM;17-09-2018;-0,2854;0,1054;-0,0211;0,1194;0,0196;0,0169;0,1168
JOB;07-10-2022;-0,0752;0,0299;0,0135;-0,0196;0,0337;0,0065;-0,0468
JPM;05-12-2013;0,0099;0,0056;-0,0193;-0,0134;-0,0264;-0,0068;0,0062
JWN;07-11-2018;-0,1278;-0,1126;-0,0364;-0,0420;-0,0314;0,0027;-0,0078
KELYA;09-03-2012;-0,0968;-0,0331;0,0084;-0,0255;-0,0268;-0,0054;-0,0040
KR;25-05-2016;0,0257;0,0344;0,0084;-0,0009;-0,0028;0,0188;0,0207
KRYS;30-01-2024;-0,1713;-0,1365;-0,0306;-0,0621;-0,0498;-0,0278;-0,0401
LCUT;16-04-2021;-0,1004;-0,0048;0,0150;0,0177;0,0160;0,0027;0,0043
LDI;24-04-2023;0,1215;-0,0334;0,0180;0,0146;-0,0150;-0,0413;-0,0117
LEVI;20-06-2024;-0,2955;-0,2203;-0,0248;-0,0286;-0,0227;-0,0011;-0,0070
LSTR;21-03-2016;0,0109;0,0496;0,0003;0,0003;-0,0133;-0,0037;0,0099
